timestamp,altitude,daytime,profile,value
2.66E+02,0.1,6.07,4.20E-01,5.01E-01
2.66E+02,0.3,6.07,4.20E-01,4.79E-01
2.66E+02,0.5,6.07,4.20E-01,4.25E-01
2.66E+02,0.7,6.07,4.20E-01,3.80E-01
2.66E+02,0.9,6.07,4.20E-01,3.34E-01
2.66E+02,1.1,6.07,4.20E-01,3.19E-01
2.66E+02,1.3,6.07,4.20E-01,1.88E-01
2.66E+02,1.5,6.07,4.20E-01,9.52E-02
2.66E+02,1.7,6.07,4.20E-01,7.71E-02
2.66E+02,1.9,6.07,4.20E-01,5.89E-02
2.66E+02,2.1,6.07,4.20E-01,4.08E-02
2.66E+02,2.3,6.07,4.20E-01,2.27E-02
2.66E+02,2.5,6.07,4.20E-01,1.21E-02
2.66E+02,2.7,6.07,4.20E-01,1.06E-02
2.66E+02,2.9,6.07,4.20E-01,9.10E-03
2.66E+02,3.1,6.07,4.20E-01,7.59E-03
2.66E+02,3.3,6.07,4.20E-01,6.09E-03
2.66E+02,3.5,6.07,4.20E-01,4.58E-03
2.66E+02,3.7,6.07,4.20E-01,3.07E-03
2.66E+02,3.9,6.07,4.20E-01,1.56E-03
2.66E+02,0.1,7.07,4.20E-01,1.57E-01
2.66E+02,0.3,7.07,4.20E-01,1.69E-01
2.66E+02,0.5,7.07,4.20E-01,1.41E-01
2.66E+02,0.7,7.07,4.20E-01,1.13E-01
2.66E+02,0.9,7.07,4.20E-01,8.71E-02
2.66E+02,1.1,7.07,4.20E-01,7.64E-02
2.66E+02,1.3,7.07,4.20E-01,6.56E-02
2.66E+02,1.5,7.07,4.20E-01,5.66E-02
2.66E+02,1.7,7.07,4.20E-01,4.84E-02
2.66E+02,1.9,7.07,4.20E-01,4.13E-02
2.66E+02,2.1,7.07,4.20E-01,3.56E-02
2.66E+02,2.3,7.07,4.20E-01,3.90E-02
2.66E+02,2.5,7.07,4.20E-01,4.08E-02
2.66E+02,2.7,7.07,4.20E-01,2.43E-02
2.66E+02,2.9,7.07,4.20E-01,1.33E-02
2.66E+02,3.1,7.07,4.20E-01,9.86E-03
2.66E+02,3.3,7.07,4.20E-01,6.45E-03
2.66E+02,3.5,7.07,4.20E-01,3.03E-03
2.66E+02,3.7,7.07,4.20E-01,6.86E-04
2.66E+02,3.9,7.07,4.20E-01,3.47E-04
2.66E+02,0.1,8.08,4.20E-01,9.16E-02
2.66E+02,0.3,8.08,4.20E-01,1.03E-01
2.66E+02,0.5,8.08,4.20E-01,9.00E-02
2.66E+02,0.7,8.08,4.20E-01,7.74E-02
2.66E+02,0.9,8.08,4.20E-01,6.49E-02
2.66E+02,1.1,8.08,4.20E-01,5.42E-02
2.66E+02,1.3,8.08,4.20E-01,4.52E-02
2.66E+02,1.5,8.08,4.20E-01,3.62E-02
