time, rowNum, profile
255.25312,0,0.67
255.25312,1,0.56
255.25312,2,0.48
255.25312,3,0.45
255.25312,4,0.44
255.25312,5,0.43
255.25312,6,0.43
255.25312,7,0.42
255.25312,8,0.42
255.25312,9,0.42
255.25312,10,0.42
255.25312,11,0.42
255.25312,12,0.42
255.25312,13,0.42
255.25312,14,0.42
255.25312,15,0.42
255.25312,16,0.42
255.25312,17,0.42
255.25312,18,0.42
255.25312,19,0.42
255.29479,0,0.64
255.29479,1,0.55
255.29479,2,0.48
255.29479,3,0.45
255.29479,4,0.44
255.29479,5,0.43
255.29479,6,0.43
255.29479,7,0.42
255.29479,8,0.42
255.29479,9,0.42
255.29479,10,0.42
255.29479,11,0.42
255.29479,12,0.42
255.29479,13,0.42
255.29479,14,0.42
255.29479,15,0.42
255.29479,16,0.42
255.29479,17,0.42
255.29479,18,0.42
255.29479,19,0.42
255.33646,0,0.72
255.33646,1,0.54
255.33646,2,0.48
255.33646,3,0.46
255.33646,4,0.44
255.33646,5,0.43
255.33646,6,0.43
255.33646,7,0.42
255.33646,8,0.42
255.33646,9,0.42
255.33646,10,0.42
255.33646,11,0.42
255.33646,12,0.42
255.33646,13,0.42
255.33646,14,0.42
255.33646,15,0.42
255.33646,16,0.42
255.33646,17,0.42
255.33646,18,0.42
255.33646,19,0.42
255.37812,0,0.72
255.37812,1,0.51
255.37812,2,0.46
255.37812,3,0.44
255.37812,4,0.43
255.37812,5,0.42
255.37812,6,0.42
255.37812,7,0.42
255.37812,8,0.42
255.37812,9,0.42
255.37812,10,0.42
255.37812,11,0.42
255.37812,12,0.42
255.37812,13,0.42
255.37812,14,0.42
255.37812,15,0.42
255.37812,16,0.42
255.37812,17,0.42
255.37812,18,0.42
255.37812,19,0.42
255.41979,0,0.72
255.41979,1,0.56
255.41979,2,0.5
255.41979,3,0.46
255.41979,4,0.45
255.41979,5,0.44
255.41979,6,0.43
255.41979,7,0.43
255.41979,8,0.42
255.41979,9,0.42
255.41979,10,0.42
255.41979,11,0.42
255.41979,12,0.42
255.41979,13,0.42
255.41979,14,0.42
255.41979,15,0.42
255.41979,16,0.42
255.41979,17,0.42
255.41979,18,0.42
255.41979,19,0.42
255.46146,0,0.66
255.46146,1,0.54
255.46146,2,0.49
255.46146,3,0.46
255.46146,4,0.44
255.46146,5,0.43
255.46146,6,0.43
255.46146,7,0.42
255.46146,8,0.42
255.46146,9,0.42
255.46146,10,0.42
255.46146,11,0.42
255.46146,12,0.42
255.46146,13,0.42
255.46146,14,0.42
255.46146,15,0.42
255.46146,16,0.42
255.46146,17,0.42
255.46146,18,0.42
255.46146,19,0.42
255.47187,0,0.65
255.47187,1,0.51
255.47187,2,0.48
255.47187,3,0.46
255.47187,4,0.44
255.47187,5,0.43
255.47187,6,0.43
255.47187,7,0.42
255.47187,8,0.42
255.47187,9,0.42
255.47187,10,0.42
255.47187,11,0.42
255.47187,12,0.42
255.47187,13,0.42
255.47187,14,0.42
