time,value
0,0.388721
1,0.32092
2,0.271485
3,0.27968899999999997
4,0.18975999999999998
5,0.20688099999999998
6,0.213889
7,0.26248299999999997
8,0.285698
9,0.314714
10,0.32748299999999997
11,0.30044499999999996
12,0.283842
13,0.329046
14,0.289148
15,0.283911
16,0.29590700000000003
17,0.282329
18,0.268988
19,0.263166
20,0.27215300000000003
21,0.278917
22,0.303534
23,0.319229
24,0.344009
25,0.34468200000000004
26,0.304032
27,0.272147
28,0.279389
29,0.29575799999999997
30,0.30207
31,0.313481
32,0.317606
33,0.325374
34,0.327726
35,0.326445
36,0.321207
37,0.335638
38,0.33520700000000003
39,0.417033
40,0.364056
41,0.33879899999999996
42,0.334012
43,0.329927
44,0.345312
45,0.339652
46,0.340708
47,0.351877
48,0.376517
49,0.396382
50,0.395065
51,0.40592
52,0.607386
53,0.431234
54,0.448118
55,0.457813
56,0.453117
57,0.457818
58,0.44160600000000005
59,0.444784
60,0.43181499999999995
61,0.401993
62,0.356002
63,0.343945
64,0.38855300000000004
65,2.5319599999999998
66,0.0506719
67,0.29651500000000003
68,0.388974
69,0.42785500000000004
70,0.372896
71,0.311087
72,0.234965
73,0.395926
74,0.229569
75,0.234377
76,0.31217
77,0.307016
78,1.12642
79,0.371864
80,0.274502
81,0.275533
82,0.44595
83,0.351815
84,0.50289
85,0.353659
86,0.38726
87,0.36602399999999996
88,0.365311
89,0.25201
90,0.191278
91,0.393137
92,0.279493
93,0.21980999999999998
94,0.213127
95,0.202754
96,0.229183
97,0.225962
98,0.286829
99,0.254188
100,0.285174
101,0.277434
102,0.277887
103,0.32559899999999997
104,0.25561799999999996
105,0.22756300000000002
106,0.192847
107,0.317445
108,0.22466799999999998
109,0.34380700000000003
110,0.314958
111,0.330129
112,0.336204
113,0.302388
114,0.28699600000000003
115,0.295669
116,0.270726
117,0.513353
118,0.319275
119,0.319966
120,0.330729
121,0.38293299999999997
122,0.390778
123,0.36633899999999997
124,0.368327
125,0.380468
126,0.33069899999999997
127,0.353131
128,0.333692
129,0.289135
130,0.40995
131,0.319944
132,0.32813000000000003
133,0.28580900000000004
134,0.258997
135,0.27008699999999997
136,0.26699
137,0.310452
138,0.30485300000000004
139,0.30817
140,0.295464
141,0.32269899999999996
142,0.38711799999999996
143,0.6007819999999999
144,0.227296
145,0.142973
146,0.280514
147,0.0985215
148,0.0964836
149,0.111474
150,0.15595599999999998
151,0.172058
152,0.134648
153,0.126466
154,0.130645
155,0.09046389999999999
156,0.326472
157,0.15043099999999998
158,0.191972
159,0.228863
160,0.22462600000000002
161,0.265502
162,0.28484699999999996
163,0.302151
164,0.30189
165,0.29138000000000003
166,0.31695300000000004
167,0.309434
168,0.274941
169,0.222723
170,0.18493099999999998
171,0.191316
172,0.232109
173,0.24456999999999998
174,0.27203
175,0.28423200000000004
176,0.305663
177,0.322023
178,0.38555300000000003
179,0.405647
180,0.323157
181,0.30429
182,0.293383
183,0.122571
184,0.171671
185,0.185533
186,0.1348
187,0.145403
188,0.129778
189,4.2534
190,0.27793
191,0.249806
192,0.218036
193,0.162528
194,0.20720700000000003
195,0.28293
196,0.19206900000000002
197,0.150649
198,0.169755
199,0.174585
200,0.186891
201,0.182725
202,0.192823
203,0.20505
204,0.21876700000000002
205,0.22048299999999998
206,0.23962199999999997
207,0.14113
208,0.628004
209,0.163603
210,0.614925
211,0.171999
212,0.12106700000000001
213,0.123064
214,0.13691099999999998
215,0.147384
216,0.149001
217,0.22301999999999997
218,0.15051900000000001
219,0.12684600000000001
220,0.129105
