time,value
6.075,0.583446
7.075,0.848574
8.075,0.708525
9.075,1.2749
10.075,1.70683
11.075,2.74552
11.325,1.62914
11.825,1.55821
12.075,1.48349
13.075,1.74048
14.075,1.15275
15.075,2.18142
16.075,2.66181
