timestamp,altitude,daytime,profile,value
2.68E+02,0.1,6.07,5.10E-01,9.30E+10
2.68E+02,0.3,6.07,4.70E-01,5.13E+10
2.68E+02,0.5,6.07,4.50E-01,3.32E+10
2.68E+02,0.7,6.07,4.40E-01,1.86E+10
2.68E+02,0.9,6.07,4.30E-01,1.07E+10
2.68E+02,1.1,6.07,4.30E-01,8.00E+09
2.68E+02,1.3,6.07,4.30E-01,6.57E+09
2.68E+02,1.5,6.07,4.20E-01,4.69E+09
2.68E+02,1.7,6.07,4.20E-01,3.34E+09
2.68E+02,1.9,6.07,4.20E-01,2.82E+09
2.68E+02,2.1,6.07,4.20E-01,2.12E+09
2.68E+02,2.3,6.07,4.20E-01,1.68E+09
2.68E+02,2.5,6.07,4.20E-01,1.19E+09
2.68E+02,2.7,6.07,4.20E-01,8.43E+08
2.68E+02,2.9,6.07,4.20E-01,5.97E+08
2.68E+02,3.1,6.07,4.20E-01,4.23E+08
2.68E+02,3.3,6.07,4.20E-01,2.99E+08
2.68E+02,3.5,6.07,4.20E-01,2.12E+08
2.68E+02,3.7,6.07,4.20E-01,1.50E+08
2.68E+02,3.9,6.07,4.20E-01,1.06E+08
2.68E+02,0.1,7.07,5.30E-01,1.12E+11
2.68E+02,0.3,7.07,4.80E-01,6.07E+10
2.68E+02,0.5,7.07,4.50E-01,2.89E+10
2.68E+02,0.7,7.07,4.30E-01,1.45E+10
2.68E+02,0.9,7.07,4.30E-01,9.18E+09
2.68E+02,1.1,7.07,4.30E-01,5.60E+09
2.68E+02,1.3,7.07,4.20E-01,4.85E+09
2.68E+02,1.5,7.07,4.20E-01,4.45E+09
2.68E+02,1.7,7.07,4.20E-01,2.83E+09
2.68E+02,1.9,7.07,4.20E-01,1.45E+09
2.68E+02,2.1,7.07,4.20E-01,9.69E+08
2.68E+02,2.3,7.07,4.20E-01,9.44E+08
2.68E+02,2.5,7.07,4.20E-01,6.68E+08
2.68E+02,2.7,7.07,4.20E-01,4.73E+08
2.68E+02,2.9,7.07,4.20E-01,3.35E+08
2.68E+02,3.1,7.07,4.20E-01,2.37E+08
2.68E+02,3.3,7.07,4.20E-01,1.68E+08
2.68E+02,3.5,7.07,4.20E-01,1.19E+08
2.68E+02,3.7,7.07,4.20E-01,8.41E+07
2.68E+02,3.9,7.07,4.20E-01,5.96E+07
2.68E+02,0.1,8.08,5.30E-01,1.13E+11
2.68E+02,0.3,8.08,4.70E-01,4.59E+10
2.68E+02,0.5,8.08,4.40E-01,2.34E+10
2.68E+02,0.7,8.08,4.40E-01,1.53E+10
2.68E+02,0.9,8.08,4.30E-01,7.87E+09
2.68E+02,1.1,8.08,4.20E-01,4.32E+09
2.68E+02,1.3,8.08,4.20E-01,2.55E+09
2.68E+02,1.5,8.08,4.20E-01,1.83E+09
2.68E+02,1.7,8.08,4.20E-01,1.16E+09
2.68E+02,1.9,8.08,4.20E-01,6.70E+08
2.68E+02,2.1,8.08,4.20E-01,4.40E+08
2.68E+02,2.3,8.08,4.20E-01,4.10E+08
2.68E+02,2.5,8.08,4.20E-01,2.90E+08
2.68E+02,2.7,8.08,4.20E-01,2.06E+08
2.68E+02,2.9,8.08,4.20E-01,1.46E+08
2.68E+02,3.1,8.08,4.20E-01,1.03E+08
2.68E+02,3.3,8.08,4.20E-01,7.29E+07
2.68E+02,3.5,8.08,4.20E-01,5.16E+07
2.68E+02,3.7,8.08,4.20E-01,3.66E+07
2.68E+02,3.9,8.08,4.20E-01,2.59E+07
2.68E+02,0.1,9.07,5.70E-01,1.48E+11
2.68E+02,0.3,9.07,4.80E-01,5.59E+10
2.68E+02,0.5,9.07,4.50E-01,2.73E+10
2.68E+02,0.7,9.07,4.30E-01,1.35E+10
2.68E+02,0.9,9.07,4.30E-01,7.06E+09
2.68E+02,1.1,9.07,4.20E-01,3.46E+09
2.68E+02,1.3,9.07,4.20E-01,1.90E+09
2.68E+02,1.5,9.07,4.20E-01,1.24E+09
2.68E+02,1.7,9.07,4.20E-01,9.20E+08
2.68E+02,1.9,9.07,4.20E-01,6.82E+08
2.68E+02,2.1,9.07,4.20E-01,4.56E+08
2.68E+02,2.3,9.07,4.20E-01,3.33E+08
2.68E+02,2.5,9.07,4.20E-01,3.31E+08
2.68E+02,2.7,9.07,4.20E-01,2.34E+08
2.68E+02,2.9,9.07,4.20E-01,1.66E+08
2.68E+02,3.1,9.07,4.20E-01,1.18E+08
2.68E+02,3.3,9.07,4.20E-01,8.32E+07
2.68E+02,3.5,9.07,4.20E-01,5.89E+07
2.68E+02,3.7,9.07,4.20E-01,4.17E+07
2.68E+02,3.9,9.07,4.20E-01,2.95E+07
2.68E+02,0.1,10.07,5.70E-01,1.48E+11
2.68E+02,0.3,10.07,4.90E-01,6.86E+10
2.68E+02,0.5,10.07,4.60E-01,3.61E+10
2.68E+02,0.7,10.07,4.40E-01,1.84E+10
2.68E+02,0.9,10.07,4.30E-01,1.19E+10
2.68E+02,1.1,10.07,4.30E-01,8.86E+09
2.68E+02,1.3,10.07,4.30E-01,6.32E+09
2.68E+02,1.5,10.07,4.20E-01,4.17E+09
2.68E+02,1.7,10.07,4.20E-01,2.61E+09
2.68E+02,1.9,10.07,4.20E-01,1.87E+09
2.68E+02,2.1,10.07,4.20E-01,1.83E+09
2.68E+02,2.3,10.07,4.20E-01,2.07E+09
2.68E+02,2.5,10.07,4.20E-01,2.15E+09
2.68E+02,2.7,10.07,4.20E-01,1.53E+09
2.68E+02,2.9,10.07,4.20E-01,1.08E+09
2.68E+02,3.1,10.07,4.20E-01,7.65E+08
2.68E+02,3.3,10.07,4.20E-01,5.41E+08
2.68E+02,3.5,10.07,4.20E-01,3.83E+08
2.68E+02,3.7,10.07,4.20E-01,2.71E+08
2.68E+02,3.9,10.07,4.20E-01,1.92E+08
2.68E+02,0.1,11.08,5.70E-01,1.44E+11
2.68E+02,0.3,11.08,5.00E-01,7.69E+10
2.68E+02,0.5,11.08,4.60E-01,4.19E+10
2.68E+02,0.7,11.08,4.40E-01,2.05E+10
