time,value
6.075,1.37326
7.075,1.00555
8.075,0.793495
9.075,0.809618
10.075,1.35896
11.075,1.22113
11.325,1.52311
11.825,2.12281
12.075,2.83518
13.075,3.03235
14.075,2.02302
15.075,2.75914
16.075,2.22031
