timestamp,altitude,daytime,profile,value
2.64E+02,0.1,6.07,8.50E-01,4.19E+11
2.64E+02,0.3,6.07,1.00E+00,5.67E+11
2.64E+02,0.5,6.07,8.20E-01,3.91E+11
2.64E+02,0.7,6.07,7.20E-01,2.93E+11
2.64E+02,0.9,6.07,6.00E-01,1.76E+11
2.64E+02,1.1,6.07,5.50E-01,1.24E+11
2.64E+02,1.3,6.07,5.10E-01,8.95E+10
2.64E+02,1.5,6.07,4.70E-01,5.41E+10
2.64E+02,1.7,6.07,4.50E-01,3.15E+10
2.64E+02,1.9,6.07,4.50E-01,3.00E+10
2.64E+02,2.1,6.07,4.40E-01,2.13E+10
2.64E+02,2.3,6.07,4.40E-01,1.50E+10
2.64E+02,2.5,6.07,4.30E-01,1.07E+10
2.64E+02,2.7,6.07,4.30E-01,7.54E+09
2.64E+02,2.9,6.07,4.30E-01,5.34E+09
2.64E+02,3.1,6.07,4.20E-01,3.78E+09
2.64E+02,3.3,6.07,4.20E-01,2.68E+09
2.64E+02,3.5,6.07,4.20E-01,1.89E+09
2.64E+02,3.7,6.07,4.20E-01,1.34E+09
2.64E+02,3.9,6.07,4.20E-01,9.49E+08
2.64E+02,0.1,7.07,9.00E-01,4.73E+11
2.64E+02,0.3,7.07,8.20E-01,3.96E+11
2.64E+02,0.5,7.07,7.10E-01,2.88E+11
2.64E+02,0.7,7.07,6.10E-01,1.82E+11
2.64E+02,0.9,7.07,5.40E-01,1.14E+11
2.64E+02,1.1,7.07,4.90E-01,6.92E+10
2.64E+02,1.3,7.07,4.70E-01,4.48E+10
2.64E+02,1.5,7.07,4.50E-01,3.14E+10
2.64E+02,1.7,7.07,4.40E-01,2.09E+10
2.64E+02,1.9,7.07,4.30E-01,1.14E+10
2.64E+02,2.1,7.07,4.20E-01,4.95E+09
2.64E+02,2.3,7.07,4.20E-01,3.41E+09
2.64E+02,2.5,7.07,4.20E-01,2.42E+09
2.64E+02,2.7,7.07,4.20E-01,1.71E+09
2.64E+02,2.9,7.07,4.20E-01,1.21E+09
2.64E+02,3.1,7.07,4.20E-01,8.58E+08
2.64E+02,3.3,7.07,4.20E-01,6.07E+08
2.64E+02,3.5,7.07,4.20E-01,4.30E+08
2.64E+02,3.7,7.07,4.20E-01,3.04E+08
2.64E+02,3.9,7.07,4.20E-01,2.15E+08
2.64E+02,0.1,8.08,8.40E-01,4.14E+11
2.64E+02,0.3,8.08,7.40E-01,3.08E+11
2.64E+02,0.5,8.08,6.30E-01,2.09E+11
2.64E+02,0.7,8.08,5.50E-01,1.23E+11
2.64E+02,0.9,8.08,5.00E-01,7.66E+10
2.64E+02,1.1,8.08,4.70E-01,4.75E+10
2.64E+02,1.3,8.08,4.50E-01,2.94E+10
2.64E+02,1.5,8.08,4.40E-01,1.82E+10
2.64E+02,1.7,8.08,4.30E-01,1.05E+10
