timestamp,altitude,daytime,profile,value
2.56E+02,0.1,6.07,7.50E-01,3.25E+11
2.56E+02,0.3,6.07,5.60E-01,1.38E+11
2.56E+02,0.5,6.07,4.90E-01,7.17E+10
2.56E+02,0.7,6.07,4.60E-01,3.49E+10
2.56E+02,0.9,6.07,4.40E-01,1.90E+10
2.56E+02,1.1,6.07,4.30E-01,1.15E+10
2.56E+02,1.3,6.07,4.30E-01,7.58E+09
2.56E+02,1.5,6.07,4.30E-01,5.56E+09
2.56E+02,1.7,6.07,4.20E-01,4.47E+09
2.56E+02,1.9,6.07,4.20E-01,3.36E+09
2.56E+02,2.1,6.07,4.20E-01,2.18E+09
2.56E+02,2.3,6.07,4.20E-01,1.79E+09
2.56E+02,2.5,6.07,4.20E-01,1.27E+09
2.56E+02,2.7,6.07,4.20E-01,8.98E+08
2.56E+02,2.9,6.07,4.20E-01,6.36E+08
2.56E+02,3.1,6.07,4.20E-01,4.50E+08
2.56E+02,3.3,6.07,4.20E-01,3.19E+08
2.56E+02,3.5,6.07,4.20E-01,2.25E+08
2.56E+02,3.7,6.07,4.20E-01,1.60E+08
2.56E+02,3.9,6.07,4.20E-01,1.13E+08
2.56E+02,0.1,7.07,6.40E-01,2.19E+11
2.56E+02,0.3,7.07,5.20E-01,9.97E+10
2.56E+02,0.5,7.07,4.80E-01,5.96E+10
2.56E+02,0.7,7.07,4.60E-01,3.89E+10
2.56E+02,0.9,7.07,4.40E-01,1.95E+10
2.56E+02,1.1,7.07,4.30E-01,1.30E+10
2.56E+02,1.3,7.07,4.30E-01,8.31E+09
2.56E+02,1.5,7.07,4.20E-01,4.74E+09
2.56E+02,1.7,7.07,4.20E-01,2.39E+09
2.56E+02,1.9,7.07,4.20E-01,1.21E+09
2.56E+02,2.1,7.07,4.20E-01,8.39E+08
2.56E+02,2.3,7.07,4.20E-01,8.25E+08
2.56E+02,2.5,7.07,4.20E-01,5.84E+08
2.56E+02,2.7,7.07,4.20E-01,4.14E+08
2.56E+02,2.9,7.07,4.20E-01,2.93E+08
2.56E+02,3.1,7.07,4.20E-01,2.07E+08
2.56E+02,3.3,7.07,4.20E-01,1.47E+08
2.56E+02,3.5,7.07,4.20E-01,1.04E+08
2.56E+02,3.7,7.07,4.20E-01,7.36E+07
2.56E+02,3.9,7.07,4.20E-01,5.21E+07
2.56E+02,0.1,8.08,6.60E-01,2.40E+11
2.56E+02,0.3,8.08,5.30E-01,1.06E+11
2.56E+02,0.5,8.08,4.80E-01,5.52E+10
2.56E+02,0.7,8.08,4.50E-01,3.00E+10
2.56E+02,0.9,8.08,4.40E-01,1.88E+10
2.56E+02,1.1,8.08,4.30E-01,1.36E+10
2.56E+02,1.3,8.08,4.30E-01,8.99E+09
2.56E+02,1.5,8.08,4.30E-01,5.30E+09
2.56E+02,1.7,8.08,4.20E-01,2.77E+09
2.56E+02,1.9,8.08,4.20E-01,1.36E+09
2.56E+02,2.1,8.08,4.20E-01,8.07E+08
2.56E+02,2.3,8.08,4.20E-01,7.75E+08
2.56E+02,2.5,8.08,4.20E-01,5.48E+08
2.56E+02,2.7,8.08,4.20E-01,3.88E+08
2.56E+02,2.9,8.08,4.20E-01,2.75E+08
2.56E+02,3.1,8.08,4.20E-01,1.95E+08
2.56E+02,3.3,8.08,4.20E-01,1.38E+08
2.56E+02,3.5,8.08,4.20E-01,9.75E+07
2.56E+02,3.7,8.08,4.20E-01,6.90E+07
2.56E+02,3.9,8.08,4.20E-01,4.89E+07
2.56E+02,0.1,9.07,6.90E-01,2.66E+11
2.56E+02,0.3,9.07,5.50E-01,1.32E+11
2.56E+02,0.5,9.07,5.00E-01,8.26E+10
2.56E+02,0.7,9.07,4.70E-01,4.70E+10
2.56E+02,0.9,9.07,4.40E-01,2.48E+10
2.56E+02,1.1,9.07,4.30E-01,1.25E+10
2.56E+02,1.3,9.07,4.30E-01,7.06E+09
2.56E+02,1.5,9.07,4.20E-01,4.99E+09
2.56E+02,1.7,9.07,4.20E-01,3.44E+09
2.56E+02,1.9,9.07,4.20E-01,1.93E+09
2.56E+02,2.1,9.07,4.20E-01,8.87E+08
2.56E+02,2.3,9.07,4.20E-01,6.78E+08
2.56E+02,2.5,9.07,4.20E-01,4.80E+08
2.56E+02,2.7,9.07,4.20E-01,3.40E+08
2.56E+02,2.9,9.07,4.20E-01,2.40E+08
2.56E+02,3.1,9.07,4.20E-01,1.70E+08
2.56E+02,3.3,9.07,4.20E-01,1.21E+08
2.56E+02,3.5,9.07,4.20E-01,8.53E+07
2.56E+02,3.7,9.07,4.20E-01,6.04E+07
2.56E+02,3.9,9.07,4.20E-01,4.28E+07
2.56E+02,0.1,10.07,7.00E-01,2.73E+11
2.56E+02,0.3,10.07,5.60E-01,1.40E+11
2.56E+02,0.5,10.07,4.90E-01,7.01E+10
2.56E+02,0.7,10.07,4.60E-01,4.17E+10
2.56E+02,0.9,10.07,4.50E-01,2.90E+10
2.56E+02,1.1,10.07,4.40E-01,1.91E+10
2.56E+02,1.3,10.07,4.30E-01,1.17E+10
2.56E+02,1.5,10.07,4.30E-01,6.55E+09
2.56E+02,1.7,10.07,4.20E-01,3.34E+09
2.56E+02,1.9,10.07,4.20E-01,1.67E+09
2.56E+02,2.1,10.07,4.20E-01,1.04E+09
2.56E+02,2.3,10.07,4.20E-01,9.75E+08
2.56E+02,2.5,10.07,4.20E-01,6.90E+08
2.56E+02,2.7,10.07,4.20E-01,4.89E+08
2.56E+02,2.9,10.07,4.20E-01,3.46E+08
2.56E+02,3.1,10.07,4.20E-01,2.45E+08
2.56E+02,3.3,10.07,4.20E-01,1.73E+08
2.56E+02,3.5,10.07,4.20E-01,1.23E+08
2.56E+02,3.7,10.07,4.20E-01,8.69E+07
2.56E+02,3.9,10.07,4.20E-01,6.15E+07
2.56E+02,0.1,11.08,7.30E-01,3.01E+11
2.56E+02,0.3,11.08,5.20E-01,9.74E+10
2.56E+02,0.5,11.08,4.70E-01,5.12E+10
2.56E+02,0.7,11.08,4.50E-01,2.71E+10
2.56E+02,0.9,11.08,4.30E-01,1.47E+10
2.56E+02,1.1,11.08,4.30E-01,6.76E+09
2.56E+02,1.3,11.08,4.20E-01,3.16E+09
2.56E+02,1.5,11.08,4.20E-01,2.06E+09
2.56E+02,1.7,11.08,4.20E-01,1.67E+09
2.56E+02,1.9,11.08,4.20E-01,1.24E+09
2.56E+02,2.1,11.08,4.20E-01,9.07E+08
2.56E+02,2.3,11.08,4.20E-01,8.22E+08
2.56E+02,2.5,11.08,4.20E-01,5.82E+08
2.56E+02,2.7,11.08,4.20E-01,4.12E+08
2.56E+02,2.9,11.08,4.20E-01,2.92E+08
2.56E+02,3.1,11.08,4.20E-01,2.07E+08
2.56E+02,3.3,11.08,4.20E-01,1.46E+08
2.56E+02,3.5,11.08,4.20E-01,1.04E+08
2.56E+02,3.7,11.08,4.20E-01,7.33E+07
2.56E+02,3.9,11.08,4.20E-01,5.19E+07
2.56E+02,0.1,11.32,6.50E-01,2.24E+11
2.56E+02,0.3,11.32,5.10E-01,9.03E+10
2.56E+02,0.5,11.32,4.70E-01,5.00E+10
2.56E+02,0.7,11.32,4.40E-01,2.46E+10
2.56E+02,0.9,11.32,4.30E-01,1.21E+10
2.56E+02,1.1,11.32,4.30E-01,6.64E+09
2.56E+02,1.3,11.32,4.20E-01,3.76E+09
2.56E+02,1.5,11.32,4.20E-01,2.38E+09
2.56E+02,1.7,11.32,4.20E-01,1.54E+09
2.56E+02,1.9,11.32,4.20E-01,8.05E+08
2.56E+02,2.1,11.32,4.20E-01,3.05E+08
2.56E+02,2.3,11.32,4.20E-01,1.64E+08
2.56E+02,2.5,11.32,4.20E-01,1.16E+08
2.56E+02,2.7,11.32,4.20E-01,8.23E+07
2.56E+02,2.9,11.32,4.20E-01,5.83E+07
2.56E+02,3.1,11.32,4.20E-01,4.12E+07
2.56E+02,3.3,11.32,4.20E-01,2.92E+07
2.56E+02,3.5,11.32,4.20E-01,2.07E+07
2.56E+02,3.7,11.32,4.20E-01,1.46E+07
2.56E+02,3.9,11.32,4.20E-01,1.04E+07
2.56E+02,0.1,11.83,5.80E-01,1.54E+11
2.56E+02,0.3,11.83,5.10E-01,8.68E+10
2.56E+02,0.5,11.83,4.80E-01,5.76E+10
2.56E+02,0.7,11.83,4.60E-01,3.49E+10
2.56E+02,0.9,11.83,4.40E-01,2.10E+10
2.56E+02,1.1,11.83,4.30E-01,1.18E+10
2.56E+02,1.3,11.83,4.30E-01,6.40E+09
2.56E+02,1.5,11.83,4.20E-01,3.52E+09
2.56E+02,1.7,11.83,4.20E-01,1.87E+09
2.56E+02,1.9,11.83,4.20E-01,9.26E+08
2.56E+02,2.1,11.83,4.20E-01,5.15E+08
2.56E+02,2.3,11.83,4.20E-01,4.60E+08
2.56E+02,2.5,11.83,4.20E-01,3.26E+08
2.56E+02,2.7,11.83,4.20E-01,2.31E+08
2.56E+02,2.9,11.83,4.20E-01,1.63E+08
2.56E+02,3.1,11.83,4.20E-01,1.16E+08
2.56E+02,3.3,11.83,4.20E-01,8.19E+07
2.56E+02,3.5,11.83,4.20E-01,5.80E+07
2.56E+02,3.7,11.83,4.20E-01,4.10E+07
2.56E+02,3.9,11.83,4.20E-01,2.90E+07
2.57E+02,0.1,12.07,5.80E-01,1.60E+11
2.57E+02,0.3,12.07,5.50E-01,1.27E+11
2.57E+02,0.5,12.07,4.90E-01,6.88E+10
2.57E+02,0.7,12.07,4.60E-01,3.97E+10
2.57E+02,0.9,12.07,4.50E-01,2.58E+10
2.57E+02,1.1,12.07,4.40E-01,1.76E+10
2.57E+02,1.3,12.07,4.30E-01,1.11E+10
2.57E+02,1.5,12.07,4.30E-01,6.25E+09
2.57E+02,1.7,12.07,4.20E-01,3.17E+09
2.57E+02,1.9,12.07,4.20E-01,1.53E+09
2.57E+02,2.1,12.07,4.20E-01,9.19E+08
2.57E+02,2.3,12.07,4.20E-01,8.76E+08
