time,value
6.075,0.885848
7.075,1.05063
8.075,0.895579
9.075,1.02053
10.075,0.959287
11.075,0.972924
11.325,1.06462
11.825,1.20414
12.075,1.71072
13.075,1.2377
14.075,1.2839
15.075,0.611649
16.075,0.26106
